id,id_tiempo,id_territorio,id_tipo_delito,coneguts,resolts,detencions
936,13,33,24,14,9,3
937,13,33,5,1,1,2
938,13,33,6,5,4,2
939,13,33,26,8,7,7
940,13,33,27,1,0,0
941,13,33,10,11,10,2
942,13,33,44,2,2,0
943,13,33,29,1,2,0
944,13,33,39,2,2,1
945,13,33,30,15,15,1
946,13,33,31,18,19,0
947,13,33,32,3,3,0
948,13,33,40,1,1,1
949,13,33,55,3,2,0
950,13,33,33,1,1,0
951,13,33,14,0,0,1
952,13,33,15,196,33,0
953,13,33,35,4,4,0
954,13,33,16,43,41,0
955,13,34,1,1,1,0
956,13,34,2,2,2,0
957,13,34,17,14,13,10
958,13,34,18,9,8,4
959,13,34,19,3,2,0
960,13,34,3,17,2,0
961,13,34,47,1,1,0
962,13,34,4,9,5,1
963,13,34,20,59,13,13
964,13,34,49,1,2,2
965,13,34,21,89,20,9
966,13,34,22,93,1,0
967,13,34,23,33,11,13
968,13,34,24,17,6,0
969,13,34,36,1,1,0
970,13,34,6,3,2,0
971,13,34,26,7,7,4
972,13,34,38,1,1,1
973,13,34,9,1,0,0
974,13,34,27,1,1,0
975,13,34,10,4,5,2
976,13,34,29,2,3,2
977,13,34,39,1,2,0
978,13,34,30,26,26,0
979,13,34,31,15,15,0
980,13,34,33,2,2,0
981,13,34,14,0,1,0
982,13,34,15,294,39,2
983,13,34,35,5,5,0
